Symbol,Company,Market Cap,% Change,Volume,Revenue
BOXL,Boxlight Corporation,10.03M,2.00%,"404,733",150.71M
NXTT,Next Technology Holding Inc.,9.77M,-53.95%,"2,464,730",1.13M
ELWS,"Earlyworks Co., Ltd",9.74M,5.56%,"13,299",1.14M
VISL,"Vislink Technologies, Inc.",9.73M,0.77%,"10,956",32.44M
AMST,Amesite Inc.,9.58M,4.26%,"33,433",114.80K
MFI,mF International Limited,9.55M,0.18%,"153,682",3.88M
LIDR,"AEye, Inc.",9.50M,0.97%,"1,320,968",225.00K
ASNS,"Actelis Networks, Inc.",8.88M,-4.70%,"464,364",7.72M
MITQ,"Moving iMage Technologies, Inc.",7.99M,-5.07%,"198,062",18.76M
IDAI,T Stamp Inc.,7.94M,-0.42%,"137,441",2.16M
WTO,UTime Limited,7.85M,4.22%,"617,020",32.31M
JNVR,Janover Inc.,7.67M,0.74%,"4,420",1.82M
VS,Versus Systems Inc.,7.53M,-2.49%,"173,023",91.50K
FRGT,"Freight Technologies, Inc.",7.37M,3.79%,"21,580",17.57M
MRIN,Marin Software Incorporated,6.50M,-2.03%,"13,725",16.71M
TGL,Treasure Global Inc.,6.22M,-4.55%,"1,481,133",8.81M
ULY,Urgent.ly Inc.,6.19M,-1.97%,"57,025",155.93M
VERB,"Verb Technology Company, Inc.",6.18M,7.80%,"33,210",201.00K
FTFT,Future FinTech Group Inc.,5.77M,4.12%,"145,948",18.54M
OST,"Ostin Technology Group Co., Ltd.",5.43M,11.57%,"11,611,287",38.20M
IMTE,Integrated Media Technology Limited,5.25M,-3.16%,"12,311",123.34K
GITS,"Global Interactive Technologies, Inc.",5.14M,-25.15%,"1,802,001",-186.28K
VVPR,VivoPower International PLC,4.93M,-1.77%,"168,829",16.00K
CETX,"Cemtrex, Inc.",4.93M,0.73%,"28,842",66.86M
JTAI,Jet.AI Inc.,4.61M,-1.39%,"146,721",15.03M
OBLG,"Oblong, Inc.",4.51M,0.51%,"35,907",2.76M
SOPA,Society Pass Incorporated,4.28M,5.31%,"171,419",6.91M
IFBD,"Infobird Co., Ltd",4.27M,0.94%,"7,855",300.00K
WATT,Energous Corporation,4.04M,1.10%,"1,309,195",431.18K
ASTI,"Ascent Solar Technologies, Inc.",3.59M,-4.24%,"26,324",44.67K
RIME,"Algorhythm Holdings, Inc.",3.56M,10.85%,"271,245,179",32.48M
PRSO,Peraso Inc.,3.55M,-,"57,375",12.73M
SYTA,Siyata Mobile Inc.,3.15M,0.35%,"23,776",11.99M
OLB,"The OLB Group, Inc.",2.86M,-34.48%,"441,102",16.01M
MYSZ,"My Size, Inc.",2.77M,11.11%,"112,288",9.63M
AUUD,Auddia Inc.,2.72M,-2.60%,"45,854",-
BCAN,Femto Technologies Inc.,2.61M,-5.23%,"13,589",754.77K
SVRE,SaverOne 2014 Ltd.,2.57M,-0.58%,"119,623",458.95K
TAOP,Taoping Inc.,1.98M,-3.21%,"418,242",42.64M
WLDS,Wearable Devices Ltd.,1.54M,-3.82%,"72,731",464.00K
SGN,"Signing Day Sports, Inc.",1.47M,3.26%,"813,459",576.49K
LYT,Lytus Technologies Holdings PTV. Ltd.,1.32M,1.06%,"591,407",21.36M
ATCH,"AtlasClear Holdings, Inc.",1.18M,-3.47%,"131,135",-
SOBR,"SOBR Safe, Inc.",916.30K,2.47%,"5,055,778",183.86K
