Symbol,Company,Market Cap,% Change,Volume,Revenue
DBX,"Dropbox, Inc.",9.75B,1.16%,"2,541,640",2.54B
BILL,"BILL Holdings, Inc.",9.72B,1.69%,"1,740,526",1.34B
DOX,Amdocs Limited,9.62B,0.82%,"376,767",5.00B
CFLT,"Confluent, Inc.",9.43B,1.52%,"3,691,143",915.61M
ALTR,Altair Engineering Inc.,9.40B,-0.08%,"723,192",644.66M
FN,Fabrinet,9.38B,-2.70%,"385,104",3.00B
PEGA,Pegasystems Inc.,9.27B,-0.59%,"807,484",1.48B
KD,"Kyndryl Holdings, Inc.",9.14B,0.15%,"1,179,117",15.30B
CACI,CACI International Inc,9.11B,-3.61%,"717,797",8.13B
U,Unity Software Inc.,8.99B,-3.50%,"9,499,973",1.97B
APPF,"AppFolio, Inc.",8.98B,-4.07%,"263,598",762.37M
VERX,"Vertex, Inc.",8.96B,0.77%,"669,175",643.23M
PSN,Parsons Corporation,8.90B,-1.80%,"2,195,842",6.51B
IONQ,"IonQ, Inc.",8.82B,-1.43%,"19,518,917",37.47M
TTAN,"ServiceTitan, Inc.",8.81B,-2.06%,"123,970",724.36M
GLOB,Globant S.A.,8.80B,-1.96%,"381,805",2.35B
ENPH,"Enphase Energy, Inc.",8.56B,-1.45%,"3,055,767",1.25B
QRVO,"Qorvo, Inc.",8.41B,-1.80%,"2,763,253",3.95B
G,Genpact Limited,8.18B,0.41%,"649,508",4.66B
SATS,EchoStar Corporation,7.91B,-1.64%,"1,633,097",16.02B
MKSI,"MKS Instruments, Inc.",7.91B,-1.82%,"632,488",3.54B
EXLS,"ExlService Holdings, Inc.",7.91B,0.04%,"835,141",1.77B
LSCC,Lattice Semiconductor Corporation,7.90B,-3.76%,"1,823,910",562.58M
PATH,UiPath Inc.,7.65B,0.94%,"5,977,111",1.41B
INFA,Informatica Inc.,7.56B,0.16%,"640,360",1.66B
OTEX,Open Text Corporation,7.56B,0.73%,"825,739",5.61B
CCCS,CCC Intelligent Solutions Holdings Inc.,7.46B,-0.44%,"2,382,629",926.94M
S,"SentinelOne, Inc.",7.44B,0.13%,"3,603,796",770.12M
OS,"OneStream, Inc.",7.33B,0.07%,"1,181,114",459.53M
NVMI,Nova Ltd.,7.33B,0.23%,"108,804",611.85M
WEX,WEX Inc.,7.22B,-0.81%,"324,478",2.66B
SPSC,"SPS Commerce, Inc.",7.20B,-2.96%,"234,040",611.82M
OLED,Universal Display Corporation,7.15B,2.00%,"802,245",643.71M
CWAN,"Clearwater Analytics Holdings, Inc.",7.02B,-0.28%,"1,745,316",424.36M
HCP,"HashiCorp, Inc.",7.00B,0.09%,"2,571,089",654.89M
CVLT,"Commvault Systems, Inc.",6.99B,-0.66%,"303,366",898.05M
CGNX,Cognex Corporation,6.95B,0.07%,"987,639",881.50M
RMBS,Rambus Inc.,6.71B,-1.45%,"902,689",517.75M
LITE,Lumentum Holdings Inc.,6.57B,-3.70%,"1,774,905",1.38B
AMKR,"Amkor Technology, Inc.",6.34B,-0.81%,"1,353,367",6.44B
SMTC,Semtech Corporation,6.29B,-3.81%,"1,032,101",851.23M
